case_id,legal_domain,case_type
CASE-000098,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000099,Property & Land,Property / Partition Suit
CASE-000100,Employment & Labour,Wrongful Termination
CASE-000101,Property & Land,Property / Partition Suit
CASE-000102,Medical Negligence,Medical Negligence Complaint
CASE-000103,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000104,Family & Succession,Inheritance / Probate
CASE-000105,Medical Negligence,Medical Negligence Complaint
CASE-000106,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000107,Environmental Law,Environmental Clearance Challenge
CASE-000108,Consumer Protection,Deficiency in Service Complaint
CASE-000109,Corporate & Commercial,Commercial Contract Dispute
CASE-000110,Arbitration,Arbitral Award Challenge
CASE-000111,Media & Defamation,Defamation Suit
CASE-000112,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000113,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000114,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000115,Administrative Law,Administrative Order Challenge
CASE-000116,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000117,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000118,Employment & Labour,Wrongful Termination
CASE-000119,Medical Negligence,Medical Negligence Complaint
CASE-000120,Tax & GST,GST / Tax Assessment Appeal
CASE-000121,Environmental Law,Environmental Clearance Challenge
CASE-000122,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000123,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000124,Tax & GST,GST / Tax Assessment Appeal
CASE-000125,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000126,Corporate & Commercial,Commercial Contract Dispute
CASE-000127,Human Rights & PIL,Public Interest Litigation
CASE-000128,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000129,Administrative Law,Administrative Order Challenge
CASE-000130,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000131,Administrative Law,Administrative Order Challenge
CASE-000132,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000133,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000134,Employment & Labour,Wrongful Termination
CASE-000135,Medical Negligence,Medical Negligence Complaint
CASE-000136,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000137,Child Protection,POCSO / Child Protection Proceeding
CASE-000138,Corporate & Commercial,Commercial Contract Dispute
CASE-000139,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000140,Intellectual Property,Trademark Infringement
CASE-000141,White Collar Crime,Money Laundering / Corruption Case
CASE-000142,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000143,Criminal Law,Criminal Trial
CASE-000144,Family & Succession,Inheritance / Probate
CASE-000145,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000146,Education Law,Student Admission / Examination Dispute
CASE-000147,Family & Succession,Inheritance / Probate
CASE-000148,Criminal Law,Criminal Trial
CASE-000149,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000150,Criminal Law,Criminal Trial
CASE-000151,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000152,Education Law,Student Admission / Examination Dispute
CASE-000153,Employment & Labour,Wrongful Termination
CASE-000154,Arbitration,Arbitral Award Challenge
CASE-000155,Intellectual Property,Trademark Infringement
CASE-000156,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000157,Corporate & Commercial,Commercial Contract Dispute
CASE-000158,Child Protection,POCSO / Child Protection Proceeding
CASE-000159,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000160,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000161,Consumer Protection,Deficiency in Service Complaint
CASE-000162,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000163,Child Protection,POCSO / Child Protection Proceeding
CASE-000164,Tax & GST,GST / Tax Assessment Appeal
CASE-000165,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000166,Education Law,Student Admission / Examination Dispute
CASE-000167,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000168,Medical Negligence,Medical Negligence Complaint
CASE-000169,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000170,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000171,Corporate & Commercial,Commercial Contract Dispute
CASE-000172,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000173,Human Rights & PIL,Public Interest Litigation
CASE-000174,White Collar Crime,Money Laundering / Corruption Case
CASE-000175,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000176,White Collar Crime,Money Laundering / Corruption Case
CASE-000177,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000178,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000179,Child Protection,POCSO / Child Protection Proceeding
CASE-000180,Family & Succession,Inheritance / Probate
CASE-000181,Medical Negligence,Medical Negligence Complaint
CASE-000182,Arbitration,Arbitral Award Challenge
CASE-000183,Employment & Labour,Wrongful Termination
CASE-000184,Consumer Protection,Deficiency in Service Complaint
CASE-000185,Consumer Protection,Deficiency in Service Complaint
CASE-000186,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000187,Media & Defamation,Defamation Suit
CASE-000188,Child Protection,POCSO / Child Protection Proceeding
CASE-000189,Education Law,Student Admission / Examination Dispute
CASE-000190,Media & Defamation,Defamation Suit
CASE-000191,Divorce & Matrimonial,Divorce Petition
CASE-000192,Family & Succession,Inheritance / Probate
CASE-000193,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000194,Media & Defamation,Defamation Suit
CASE-000195,Consumer Protection,Deficiency in Service Complaint
CASE-000196,Child Protection,POCSO / Child Protection Proceeding
CASE-000197,Divorce & Matrimonial,Divorce Petition
CASE-000198,Corporate & Commercial,Commercial Contract Dispute
CASE-000199,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000200,Intellectual Property,Trademark Infringement
CASE-000201,Consumer Protection,Deficiency in Service Complaint
CASE-000202,Education Law,Student Admission / Examination Dispute
CASE-000203,White Collar Crime,Money Laundering / Corruption Case
CASE-000204,Child Protection,POCSO / Child Protection Proceeding
CASE-000205,Divorce & Matrimonial,Divorce Petition
CASE-000206,Education Law,Student Admission / Examination Dispute
CASE-000207,Employment & Labour,Wrongful Termination
CASE-000208,Intellectual Property,Trademark Infringement
CASE-000209,Administrative Law,Administrative Order Challenge
CASE-000210,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000211,Human Rights & PIL,Public Interest Litigation
CASE-000212,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000213,Criminal Law,Criminal Trial
CASE-000214,Family & Succession,Inheritance / Probate
CASE-000215,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000216,Divorce & Matrimonial,Divorce Petition
CASE-000217,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000218,Medical Negligence,Medical Negligence Complaint
CASE-000219,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000220,White Collar Crime,Money Laundering / Corruption Case
CASE-000221,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000222,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000223,Human Rights & PIL,Public Interest Litigation
CASE-000224,Consumer Protection,Deficiency in Service Complaint
CASE-000225,Media & Defamation,Defamation Suit
CASE-000226,Family & Succession,Inheritance / Probate
CASE-000227,Child Protection,POCSO / Child Protection Proceeding
CASE-000228,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000229,Environmental Law,Environmental Clearance Challenge
CASE-000230,Media & Defamation,Defamation Suit
CASE-000231,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000232,Administrative Law,Administrative Order Challenge
CASE-000233,Criminal Law,Criminal Trial
CASE-000234,Corporate & Commercial,Commercial Contract Dispute
CASE-000235,Intellectual Property,Trademark Infringement
CASE-000236,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000237,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000238,Criminal Law,Criminal Trial
CASE-000239,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000240,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000241,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000242,White Collar Crime,Money Laundering / Corruption Case
CASE-000243,Employment & Labour,Wrongful Termination
CASE-000244,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000245,Employment & Labour,Wrongful Termination
CASE-000246,White Collar Crime,Money Laundering / Corruption Case
CASE-000247,White Collar Crime,Money Laundering / Corruption Case
CASE-000248,Divorce & Matrimonial,Divorce Petition
CASE-000249,Administrative Law,Administrative Order Challenge
CASE-000250,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000251,Tax & GST,GST / Tax Assessment Appeal
CASE-000252,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000253,Tax & GST,GST / Tax Assessment Appeal
CASE-000254,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000255,Consumer Protection,Deficiency in Service Complaint
CASE-000256,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000257,Environmental Law,Environmental Clearance Challenge
CASE-000258,Corporate & Commercial,Commercial Contract Dispute
CASE-000259,Child Protection,POCSO / Child Protection Proceeding
CASE-000260,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000261,Arbitration,Arbitral Award Challenge
CASE-000262,Employment & Labour,Wrongful Termination
CASE-000263,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000264,Criminal Law,Criminal Trial
CASE-000265,Criminal Law,Criminal Trial
CASE-000266,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000267,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000268,Tax & GST,GST / Tax Assessment Appeal
CASE-000269,Intellectual Property,Trademark Infringement
CASE-000270,Environmental Law,Environmental Clearance Challenge
CASE-000271,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000272,Criminal Law,Criminal Trial
CASE-000273,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000274,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000275,Child Protection,POCSO / Child Protection Proceeding
CASE-000276,Administrative Law,Administrative Order Challenge
CASE-000277,Criminal Law,Criminal Trial
CASE-000278,Family & Succession,Inheritance / Probate
CASE-000279,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000280,Divorce & Matrimonial,Divorce Petition
CASE-000281,Intellectual Property,Trademark Infringement
CASE-000282,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000283,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000284,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000285,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000286,Media & Defamation,Defamation Suit
CASE-000287,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000288,Intellectual Property,Trademark Infringement
CASE-000289,Administrative Law,Administrative Order Challenge
CASE-000290,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000291,Family & Succession,Inheritance / Probate
CASE-000292,Human Rights & PIL,Public Interest Litigation
CASE-000293,Administrative Law,Administrative Order Challenge
CASE-000294,Arbitration,Arbitral Award Challenge
CASE-000295,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000296,Environmental Law,Environmental Clearance Challenge
CASE-000297,Tax & GST,GST / Tax Assessment Appeal
CASE-000298,Intellectual Property,Trademark Infringement
CASE-000299,Media & Defamation,Defamation Suit
CASE-000300,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000301,Divorce & Matrimonial,Divorce Petition
CASE-000302,White Collar Crime,Money Laundering / Corruption Case
CASE-000303,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000304,Divorce & Matrimonial,Divorce Petition
CASE-000305,Education Law,Student Admission / Examination Dispute
CASE-000306,Medical Negligence,Medical Negligence Complaint
CASE-000307,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000308,Human Rights & PIL,Public Interest Litigation
CASE-000309,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000310,Arbitration,Arbitral Award Challenge
CASE-000311,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000312,White Collar Crime,Money Laundering / Corruption Case
CASE-000313,Medical Negligence,Medical Negligence Complaint
CASE-000314,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000315,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000316,Education Law,Student Admission / Examination Dispute
CASE-000317,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000318,Education Law,Student Admission / Examination Dispute
CASE-000319,Media & Defamation,Defamation Suit
CASE-000320,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000321,Intellectual Property,Trademark Infringement
CASE-000322,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000323,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000324,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000325,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000326,Media & Defamation,Defamation Suit
CASE-000327,Human Rights & PIL,Public Interest Litigation
CASE-000328,Criminal Law,Criminal Trial
CASE-000329,Family & Succession,Inheritance / Probate
CASE-000330,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000331,Human Rights & PIL,Public Interest Litigation
CASE-000332,Criminal Law,Criminal Trial
CASE-000333,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000334,Criminal Law,Criminal Trial
CASE-000335,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000336,Child Protection,POCSO / Child Protection Proceeding
CASE-000337,White Collar Crime,Money Laundering / Corruption Case
CASE-000338,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000339,Tax & GST,GST / Tax Assessment Appeal
CASE-000340,Human Rights & PIL,Public Interest Litigation
CASE-000341,Media & Defamation,Defamation Suit
CASE-000342,Divorce & Matrimonial,Divorce Petition
CASE-000343,Divorce & Matrimonial,Divorce Petition
CASE-000344,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000345,Environmental Law,Environmental Clearance Challenge
CASE-000346,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000347,Arbitration,Arbitral Award Challenge
CASE-000348,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000349,Tax & GST,GST / Tax Assessment Appeal
CASE-000350,Child Protection,POCSO / Child Protection Proceeding
CASE-000351,Education Law,Student Admission / Examination Dispute
CASE-000352,Employment & Labour,Wrongful Termination
CASE-000353,Human Rights & PIL,Public Interest Litigation
CASE-000354,Criminal Law,Criminal Trial
CASE-000355,Media & Defamation,Defamation Suit
CASE-000356,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000357,Education Law,Student Admission / Examination Dispute
CASE-000358,Education Law,Student Admission / Examination Dispute
CASE-000359,Employment & Labour,Wrongful Termination
CASE-000360,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000361,Tax & GST,GST / Tax Assessment Appeal
CASE-000362,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000363,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000364,Divorce & Matrimonial,Divorce Petition
CASE-000365,Divorce & Matrimonial,Divorce Petition
CASE-000366,Media & Defamation,Defamation Suit
CASE-000367,Employment & Labour,Wrongful Termination
CASE-000368,Tax & GST,GST / Tax Assessment Appeal
CASE-000369,Child Protection,POCSO / Child Protection Proceeding
CASE-000370,Child Protection,POCSO / Child Protection Proceeding
CASE-000371,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000372,Employment & Labour,Wrongful Termination
CASE-000373,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000374,Administrative Law,Administrative Order Challenge
CASE-000375,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000376,Media & Defamation,Defamation Suit
CASE-000377,Administrative Law,Administrative Order Challenge
CASE-000378,Corporate & Commercial,Commercial Contract Dispute
CASE-000379,Tax & GST,GST / Tax Assessment Appeal
CASE-000380,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000381,Consumer Protection,Deficiency in Service Complaint
CASE-000382,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000383,Family & Succession,Inheritance / Probate
CASE-000384,White Collar Crime,Money Laundering / Corruption Case
CASE-000385,Education Law,Student Admission / Examination Dispute
CASE-000386,Corporate & Commercial,Commercial Contract Dispute
CASE-000387,Human Rights & PIL,Public Interest Litigation
CASE-000388,Child Protection,POCSO / Child Protection Proceeding
CASE-000389,Medical Negligence,Medical Negligence Complaint
CASE-000390,Corporate & Commercial,Commercial Contract Dispute
CASE-000391,Human Rights & PIL,Public Interest Litigation
CASE-000392,Medical Negligence,Medical Negligence Complaint
CASE-000393,Employment & Labour,Wrongful Termination
CASE-000394,Child Protection,POCSO / Child Protection Proceeding
CASE-000395,Property & Land,Property / Partition Suit
CASE-000396,Intellectual Property,Trademark Infringement
CASE-000397,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000398,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000399,Human Rights & PIL,Public Interest Litigation
CASE-000400,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000401,Environmental Law,Environmental Clearance Challenge
CASE-000402,Employment & Labour,Wrongful Termination
CASE-000403,Consumer Protection,Deficiency in Service Complaint
CASE-000404,Criminal Law,Criminal Trial
CASE-000405,Consumer Protection,Deficiency in Service Complaint
CASE-000406,Media & Defamation,Defamation Suit
CASE-000407,Education Law,Student Admission / Examination Dispute
CASE-000408,Arbitration,Arbitral Award Challenge
CASE-000409,Child Protection,POCSO / Child Protection Proceeding
CASE-000410,Environmental Law,Environmental Clearance Challenge
CASE-000411,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000412,Child Protection,POCSO / Child Protection Proceeding
CASE-000413,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000414,Human Rights & PIL,Public Interest Litigation
CASE-000415,Family & Succession,Inheritance / Probate
CASE-000416,Child Protection,POCSO / Child Protection Proceeding
CASE-000417,Property & Land,Property / Partition Suit
CASE-000418,Corporate & Commercial,Commercial Contract Dispute
CASE-000419,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000420,Family & Succession,Inheritance / Probate
CASE-000421,Corporate & Commercial,Commercial Contract Dispute
CASE-000422,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000423,Education Law,Student Admission / Examination Dispute
CASE-000424,Divorce & Matrimonial,Divorce Petition
CASE-000425,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000426,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000427,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000428,Medical Negligence,Medical Negligence Complaint
CASE-000429,Medical Negligence,Medical Negligence Complaint
CASE-000430,Human Rights & PIL,Public Interest Litigation
CASE-000431,Tax & GST,GST / Tax Assessment Appeal
CASE-000432,Administrative Law,Administrative Order Challenge
CASE-000433,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000434,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000435,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000436,Administrative Law,Administrative Order Challenge
CASE-000437,Divorce & Matrimonial,Divorce Petition
CASE-000438,Criminal Law,Criminal Trial
CASE-000439,Media & Defamation,Defamation Suit
CASE-000440,Education Law,Student Admission / Examination Dispute
CASE-000441,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000442,Corporate & Commercial,Commercial Contract Dispute
CASE-000443,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000444,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000445,Administrative Law,Administrative Order Challenge
CASE-000446,Intellectual Property,Trademark Infringement
CASE-000447,Human Rights & PIL,Public Interest Litigation
CASE-000448,Employment & Labour,Wrongful Termination
CASE-000449,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000450,Child Protection,POCSO / Child Protection Proceeding
CASE-000451,Employment & Labour,Wrongful Termination
CASE-000452,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000453,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000454,Administrative Law,Administrative Order Challenge
CASE-000455,Arbitration,Arbitral Award Challenge
CASE-000456,Consumer Protection,Deficiency in Service Complaint
CASE-000457,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000458,Criminal Law,Criminal Trial
CASE-000459,Corporate & Commercial,Commercial Contract Dispute
CASE-000460,Corporate & Commercial,Commercial Contract Dispute
CASE-000461,Employment & Labour,Wrongful Termination
CASE-000462,Tax & GST,GST / Tax Assessment Appeal
CASE-000463,Divorce & Matrimonial,Divorce Petition
CASE-000464,Media & Defamation,Defamation Suit
CASE-000465,Human Rights & PIL,Public Interest Litigation
CASE-000466,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000467,Environmental Law,Environmental Clearance Challenge
CASE-000468,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000469,Divorce & Matrimonial,Divorce Petition
CASE-000470,Tax & GST,GST / Tax Assessment Appeal
CASE-000471,Corporate & Commercial,Commercial Contract Dispute
CASE-000472,Criminal Law,Criminal Trial
CASE-000473,Tax & GST,GST / Tax Assessment Appeal
CASE-000474,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000475,Administrative Law,Administrative Order Challenge
CASE-000476,Administrative Law,Administrative Order Challenge
CASE-000477,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000478,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000479,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000480,Criminal Law,Criminal Trial
CASE-000481,Environmental Law,Environmental Clearance Challenge
CASE-000482,Environmental Law,Environmental Clearance Challenge
CASE-000483,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000484,Property & Land,Property / Partition Suit
CASE-000485,Divorce & Matrimonial,Divorce Petition
CASE-000486,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000487,Child Protection,POCSO / Child Protection Proceeding
CASE-000488,Criminal Law,Criminal Trial
CASE-000489,Media & Defamation,Defamation Suit
CASE-000490,Media & Defamation,Defamation Suit
CASE-000491,Intellectual Property,Trademark Infringement
CASE-000492,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000493,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000494,Media & Defamation,Defamation Suit
CASE-000495,White Collar Crime,Money Laundering / Corruption Case
CASE-000496,White Collar Crime,Money Laundering / Corruption Case
